County,Weeks
Anderson,4
Andrews,6
Atascosa,6
Austin,5
Bailey  ,2
Bandera  ,6
Bee  ,3
Bell  ,14
Bexar  ,6
Bexar  ,5
Blanco  ,14
Borden  ,4
Bosque  ,6
Brazos  ,3
Brewster  ,3
Brown  ,5
Burleson  ,3
Burnet  ,6
Caldwell  ,6
Caldwell  ,5
Callahan  ,7
Castro  ,4
Childress  ,4
Cochran  ,2
Coke  ,4
Coleman  ,5
Collin  ,2
Collingsworth  ,2
Colorado  ,5
Comal  ,14
Concho  ,3
Coryell  ,14
Cottle  ,4
Crane  ,4
Crockett  ,2
Crosby  ,4
Dallam  ,3
Dallam  ,4
Dallas  ,4
Dawson  ,4
Deaf Smith  ,2
Delta  ,2
DeWitt  ,3
Dickens  ,4
Dimmit  ,3
Eastland  ,5
Ector  ,4
Edwards  ,4
Ellis  ,4
Erath  ,4
Falls  ,2
Fisher  ,5
Floyd  ,4
Foard  ,4
Freestone  ,4
Frio  ,3
Gaines  ,11
Garza  ,4
Gillespie  ,6
Glasscock  ,5
Goliad  ,3
Gonzales  ,6
Grimes  ,3
Guadalupe  ,14
Hale  ,4
Hall  ,2
Hamilton  ,6
Hansford  ,4
Hardeman  ,13
Hartley  ,4
Hays  ,14
Henderson  ,4
Hill  ,4
Hood  ,4
Hopkins  ,2
Howard  ,5
Hunt  ,3
Irion  ,4
Jackson  ,4
Johnson  ,4
Jones  ,5
Jones  ,4
Karnes  ,5
Kaufman  ,4
Kendall  ,6
Kent  ,4
Kerr  ,6
Kimble  ,4
King  ,4
Kinney  ,6
Knox  ,4
La Salle  ,3
Lamar  ,2
Lamb  ,4
Lampasas  ,14
Lavaca  ,4
Limestone  ,4
Live Oak  ,3
Llano  ,6
Loving  ,4
Lubbock  ,4
Lynn  ,4
Martin  ,5
Mason  ,6
Maverick  ,6
McLennan  ,6
Medina  ,6
Menard  ,3
Midland  ,3
Mitchell  ,5
Motley  ,4
Navarro  ,4
Nolan  ,6
Nolan  ,4
Palo Pinto  ,2
Parker  ,4
Parmer  ,2
Pecos  ,4
Rains  ,2
Randall  ,2
Reagan  ,4
Real  ,5
Red River  ,2
Reeves  ,4
Rockwall  ,3
Runnels  ,4
Schleicher  ,2
Scurry  ,4
Shackelford  ,6
Sherman  ,4
Smith  ,2
Somervell  ,4
Sterling  ,5
Stonewall  ,2
Swisher  ,4
Tarrant  ,4
Taylor  ,7
Taylor  ,4
Terrell  ,3
Terry  ,4
Tom Green  ,4
Travis  ,5
Upton  ,5
Uvalde  ,5
Val Verde  ,3
Van Zandt  ,4
Waller  ,3
Ward  ,4
Washington  ,4
Wharton  ,5
Williamson  ,3
Wilson,6
Wilson,5
Winkler,4
Yoakum,4
Zavala,5
